time,inlier_ratio,features,cov_trace,lost,trans_jitter,rot_jitter
0.0,0.9177679882525698,975,0.0006421260706063187,0,,
0.060630083084106445,0.9352941176470588,979,0.0003329861473056372,0,,
0.12599897384643555,0.9368575624082232,978,0.00041692967297974985,0,,
0.1952836513519287,0.9443631039531479,975,0.000607017738561117,0,,
0.26520705223083496,0.9369627507163324,974,9.518184470851323e-05,0,,
0.32544636726379395,0.9002976190476191,977,0.0007764691536384636,0,,
0.42445898056030273,0.9338235294117647,977,0.0003146642749384046,0,,
0.49165868759155273,0.9287833827893175,978,0.00031199375502183107,0,,
0.5610740184783936,0.9304347826086956,980,0.0007553466783926708,0,,
0.7266073226928711,0.9283625730994152,978,0.0008550446364213714,0,,
0.7943520545959473,0.9522388059701492,970,0.0003238272934473935,0,,
0.9627127647399902,0.9423929098966026,978,8.156459788393463e-05,0,,
1.0945343971252441,0.9347826086956522,978,0.0004179762957726781,0,,
1.1616296768188477,0.9362962962962963,976,0.00032313932960896643,0,,
1.2268893718719482,0.9384164222873901,971,0.0005697915280764575,0,,
1.3286187648773193,0.9323529411764706,974,8.676383807638544e-05,0,,
1.562286376953125,0.9132947976878613,974,0.001034427764737193,0,,
1.6951017379760742,0.9447674418604651,975,7.739488046683603e-05,0,,
1.7952501773834229,0.9451851851851852,978,0.0005010427498382343,0,,
1.862302303314209,0.9360119047619048,978,0.0004289316302652879,0,,
1.9262933731079102,0.9400584795321637,972,0.0005443954974280496,0,,
1.9943387508392334,0.9466089466089466,977,0.0003128295255778358,0,,
2.195424795150757,0.9281524926686217,976,0.0005732710074103671,0,,
2.2632124423980713,0.9260355029585798,978,0.0008009074873429202,0,,
2.5601017475128174,0.9203539823008849,970,0.000442455172448099,0,,
2.629516839981079,0.9253294289897511,971,0.0003083025406218076,0,,
2.762136459350586,0.9258720930232558,976,0.00010581407331346767,0,,
2.9301068782806396,0.9476831091180867,974,9.222412702200002e-05,0,,
3.2298731803894043,0.9004392386530015,977,0.0008538212270830991,0,,
3.3964591026306152,0.9260935143288085,980,0.0006261748728979729,0,,
3.4954628944396973,0.9436416184971098,976,8.146713162213914e-05,0,,
3.5967843532562256,0.9476744186046512,976,0.0003281480514237774,0,,
3.733593463897705,0.9354354354354354,974,0.00044063408774803987,0,,
3.8292503356933594,0.9465875370919882,973,9.468797854433418e-05,0,,
